"filename", "language", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\kille_zvmepd7\Documents\quaderno\README.md", "Markdown", 11, 0, 0, 3, 14
"c:\Users\kille_zvmepd7\Documents\quaderno\educazione-civica\index.md", "Markdown", 3, 0, 0, 3, 6
"c:\Users\kille_zvmepd7\Documents\quaderno\educazione-civica\mst.md", "Markdown", 43, 0, 0, 15, 58
"c:\Users\kille_zvmepd7\Documents\quaderno\english\index.md", "Markdown", 192, 0, 0, 23, 215
"c:\Users\kille_zvmepd7\Documents\quaderno\fisica\fisica.md", "Markdown", 123, 0, 0, 29, 152
"c:\Users\kille_zvmepd7\Documents\quaderno\index.md", "Markdown", 1, 0, 0, 0, 1
"c:\Users\kille_zvmepd7\Documents\quaderno\informatica\html\1.html", "HTML", 0, 9, 0, 0, 9
"c:\Users\kille_zvmepd7\Documents\quaderno\informatica\html\11.html", "HTML", 0, 37, 0, 0, 37
"c:\Users\kille_zvmepd7\Documents\quaderno\informatica\html\12.html", "HTML", 0, 37, 0, 0, 37
"c:\Users\kille_zvmepd7\Documents\quaderno\informatica\html\13.html", "HTML", 0, 37, 0, 0, 37
"c:\Users\kille_zvmepd7\Documents\quaderno\informatica\html\14.html", "HTML", 0, 37, 0, 0, 37
"c:\Users\kille_zvmepd7\Documents\quaderno\informatica\html\15.html", "HTML", 0, 11, 0, 0, 11
"c:\Users\kille_zvmepd7\Documents\quaderno\informatica\html\16.html", "HTML", 0, 29, 0, 1, 30
"c:\Users\kille_zvmepd7\Documents\quaderno\informatica\html\17.html", "HTML", 0, 11, 0, 0, 11
"c:\Users\kille_zvmepd7\Documents\quaderno\informatica\html\18.html", "HTML", 0, 12, 0, 0, 12
"c:\Users\kille_zvmepd7\Documents\quaderno\informatica\html\19.html", "HTML", 0, 12, 0, 0, 12
"c:\Users\kille_zvmepd7\Documents\quaderno\informatica\html\2.html", "HTML", 0, 15, 0, 0, 15
"c:\Users\kille_zvmepd7\Documents\quaderno\informatica\html\20.html", "HTML", 0, 24, 0, 0, 24
"c:\Users\kille_zvmepd7\Documents\quaderno\informatica\html\3.html", "HTML", 0, 17, 0, 0, 17
"c:\Users\kille_zvmepd7\Documents\quaderno\informatica\html\4.html", "HTML", 0, 17, 0, 0, 17
"c:\Users\kille_zvmepd7\Documents\quaderno\informatica\html\5.html", "HTML", 0, 31, 0, 0, 31
"c:\Users\kille_zvmepd7\Documents\quaderno\informatica\html\6.html", "HTML", 0, 39, 0, 0, 39
"c:\Users\kille_zvmepd7\Documents\quaderno\informatica\html\7.html", "HTML", 0, 39, 0, 0, 39
"c:\Users\kille_zvmepd7\Documents\quaderno\informatica\html\8.html", "HTML", 0, 41, 0, 0, 41
"c:\Users\kille_zvmepd7\Documents\quaderno\informatica\html\9.10.html", "HTML", 0, 36, 0, 0, 36
"c:\Users\kille_zvmepd7\Documents\quaderno\informatica\html\index.html", "HTML", 0, 28, 0, 0, 28
"c:\Users\kille_zvmepd7\Documents\quaderno\informatica\index.md", "Markdown", 11, 0, 0, 1, 12
"c:\Users\kille_zvmepd7\Documents\quaderno\informatica\programming\cpp.md", "Markdown", 71, 0, 1, 23, 95
"c:\Users\kille_zvmepd7\Documents\quaderno\italiano\grammatica.md", "Markdown", 195, 0, 0, 10, 205
"c:\Users\kille_zvmepd7\Documents\quaderno\italiano\i-promessi-sposi-riassunto.md", "Markdown", 116, 0, 0, 153, 269
"c:\Users\kille_zvmepd7\Documents\quaderno\italiano\i-promessi-sposi.md", "Markdown", 2849, 0, 0, 2961, 5810
"c:\Users\kille_zvmepd7\Documents\quaderno\italiano\index.md", "Markdown", 5, 0, 0, 2, 7
"c:\Users\kille_zvmepd7\Documents\quaderno\italiano\letteratura.md", "Markdown", 171, 0, 0, 33, 204
"c:\Users\kille_zvmepd7\Documents\quaderno\matematica\algebra.md", "Markdown", 168, 0, 0, 39, 207
"c:\Users\kille_zvmepd7\Documents\quaderno\matematica\geometria.md", "Markdown", 36, 0, 0, 11, 47
"c:\Users\kille_zvmepd7\Documents\quaderno\matematica\matematica.md", "Markdown", 4, 0, 0, 3, 7
"c:\Users\kille_zvmepd7\Documents\quaderno\scienze-motorie\scienze-motorie.md", "Markdown", 53, 0, 0, 34, 87
"c:\Users\kille_zvmepd7\Documents\quaderno\storia\medioevo\medioevo.md", "Markdown", 42, 0, 0, 20, 62
"c:\Users\kille_zvmepd7\Documents\quaderno\storia\roma\impero.md", "Markdown", 192, 0, 0, 51, 243
"c:\Users\kille_zvmepd7\Documents\quaderno\storia\roma\index.md", "Markdown", 5, 0, 0, 3, 8
"c:\Users\kille_zvmepd7\Documents\quaderno\storia\roma\regno.md", "Markdown", 10, 0, 0, 4, 14
"c:\Users\kille_zvmepd7\Documents\quaderno\storia\roma\repubblica.md", "Markdown", 74, 0, 0, 33, 107
"c:\Users\kille_zvmepd7\Documents\quaderno\storia\storia.md", "Markdown", 4, 0, 0, 3, 7
"Total", "-", 4379, 519, 1, 3458, 8357
